NmeaType,Sequence,FrameID,RosStamp,TalkerID,MessageID,UTCTime,Latitude,LatitudeDirection,Longitude,LongtitudeDirection,QualityIndicator,NumSatellitesInUse,HDOP,Altitude,AltitudeUnit,GeoidSeparation,GeoidUnit,AgeOfDifferentialData,DifferentialReferenceStationID
GGA,3586,gps,1697617338.042775,GN,GGA,082218.00,3446.48493,N,13530.76155,E,5,09,2.43,46.1,M,34.1,M,2.0,2836
GGA,3627,gps,1697617340.04323,GN,GGA,082220.00,3446.48549,N,13530.76231,E,5,08,2.99,46.4,M,34.1,M,2.0,2836
GGA,3648,gps,1697617341.042753,GN,GGA,082221.00,3446.48575,N,13530.76272,E,2,09,2.99,46.5,M,34.1,M,2.0,2836
GGA,3668,gps,1697617342.046978,GN,GGA,082222.00,3446.48602,N,13530.76306,E,2,08,2.99,46.5,M,34.1,M,2.0,2836
GGA,3689,gps,1697617343.042908,GN,GGA,082223.00,3446.48633,N,13530.76342,E,5,09,2.98,46.6,M,34.1,M,2.0,2836
GGA,3709,gps,1697617344.043119,GN,GGA,082224.00,3446.48664,N,13530.76372,E,2,08,2.98,46.8,M,34.1,M,2.0,2836
GGA,3751,gps,1697617346.049213,GN,GGA,082226.00,3446.48718,N,13530.76451,E,2,09,2.98,46.8,M,34.1,M,2.0,2836
GGA,3792,gps,1697617348.03675,GN,GGA,082228.00,3446.48774,N,13530.76476,E,2,10,2.42,47.1,M,34.1,M,2.0,2836
GGA,3814,gps,1697617349.046035,GN,GGA,082229.00,3446.48802,N,13530.76485,E,2,10,2.42,47.4,M,34.1,M,2.0,2836
GGA,3836,gps,1697617350.038044,GN,GGA,082230.00,3446.48845,N,13530.76477,E,2,09,2.42,47.5,M,34.1,M,2.0,2836
GGA,3859,gps,1697617351.046844,GN,GGA,082231.00,3446.48877,N,13530.76477,E,2,09,2.42,47.9,M,34.1,M,2.0,2836
GGA,3905,gps,1697617353.045417,GN,GGA,082233.00,3446.48934,N,13530.76463,E,2,09,2.42,48.2,M,34.1,M,2.0,2836
GGA,3928,gps,1697617354.042085,GN,GGA,082234.00,3446.48966,N,13530.76433,E,2,10,2.42,48.2,M,34.1,M,2.0,2836
GGA,3974,gps,1697617356.046882,GN,GGA,082236.00,3446.49037,N,13530.76366,E,2,09,2.42,47.1,M,34.1,M,2.0,2836
GGA,3997,gps,1697617357.047574,GN,GGA,082237.00,3446.49064,N,13530.76323,E,5,10,2.42,47.0,M,34.1,M,2.0,2836
GGA,4019,gps,1697617358.049129,GN,GGA,082238.00,3446.49091,N,13530.76284,E,5,10,2.42,46.9,M,34.1,M,2.0,2836
GGA,4084,gps,1697617361.051256,GN,GGA,082241.00,3446.49202,N,13530.76129,E,5,11,1.51,47.9,M,34.1,M,2.0,2836
GGA,4106,gps,1697617362.041206,GN,GGA,082242.00,3446.49247,N,13530.76077,E,5,10,1.51,48.5,M,34.1,M,2.0,2836
GGA,4128,gps,1697617363.047091,GN,GGA,082243.00,3446.49290,N,13530.76025,E,5,11,1.28,49.0,M,34.1,M,2.0,2836
