Topic,FrameID,RosStamp,Latitude,Longitude,Altitude,NavSatStatus,SatelliteSystem,PositionCovarianceType,PositionCovariance
fix,gps,1697617242.044591,34.774355666666665,135.51202733333332,76.2,STATUS_SBAS_FIX,SERVICE_GPS,COVARIANCE_TYPE_APPROXIMATED,"[[14.0625 ,0.0 ,0.0], [0.0 ,14.0625 ,0.0], [0.0 ,0.0 ,56.25]]"
fix,gps,1697617243.049722,34.774350166666665,135.51202383333333,76.6,STATUS_GBAS_FIX,SERVICE_GLONASS,COVARIANCE_TYPE_APPROXIMATED,"[[14.0625 ,0.0 ,0.0], [0.0 ,14.0625 ,0.0], [0.0 ,0.0 ,56.25]]"
fix,gps,1697617244.045657,34.7743465,135.5120315,77.0,STATUS_GBAS_FIX,SERVICE_GLONASS,COVARIANCE_TYPE_APPROXIMATED,"[[14.0625 ,0.0 ,0.0], [0.0 ,14.0625 ,0.0], [0.0 ,0.0 ,56.25]]"
fix,gps,1697617245.04432,34.77434433333333,135.51204883333332,77.7,STATUS_GBAS_FIX,SERVICE_GLONASS,COVARIANCE_TYPE_APPROXIMATED,"[[14.0625 ,0.0 ,0.0], [0.0 ,14.0625 ,0.0], [0.0 ,0.0 ,56.25]]"
fix,gps,1697617246.044774,34.77434516666667,135.51206233333335,78.1,STATUS_GBAS_FIX,SERVICE_GLONASS,COVARIANCE_TYPE_APPROXIMATED,"[[14.0625 ,0.0 ,0.0], [0.0 ,14.0625 ,0.0], [0.0 ,0.0 ,56.25]]"
fix,gps,1697617247.040466,34.774350166666665,135.5120665,78.1,STATUS_GBAS_FIX,SERVICE_GLONASS,COVARIANCE_TYPE_APPROXIMATED,"[[14.0625 ,0.0 ,0.0], [0.0 ,14.0625 ,0.0], [0.0 ,0.0 ,56.25]]"
fix,gps,1697617248.043439,34.774357333333334,135.51206633333334,77.9,STATUS_GBAS_FIX,SERVICE_GLONASS,COVARIANCE_TYPE_APPROXIMATED,"[[14.0625 ,0.0 ,0.0], [0.0 ,14.0625 ,0.0], [0.0 ,0.0 ,56.25]]"
fix,gps,1697617249.052207,34.77436433333333,135.51206683333334,77.7,STATUS_GBAS_FIX,SERVICE_GLONASS,COVARIANCE_TYPE_APPROXIMATED,"[[14.0625 ,0.0 ,0.0], [0.0 ,14.0625 ,0.0], [0.0 ,0.0 ,56.25]]"
fix,gps,1697617250.053238,34.77436766666667,135.5120755,77.9,STATUS_GBAS_FIX,SERVICE_GLONASS,COVARIANCE_TYPE_APPROXIMATED,"[[14.0625 ,0.0 ,0.0], [0.0 ,14.0625 ,0.0], [0.0 ,0.0 ,56.25]]"
fix,gps,1697617251.042994,34.774373833333335,135.5120795,77.9,STATUS_GBAS_FIX,SERVICE_GLONASS,COVARIANCE_TYPE_APPROXIMATED,"[[13.9876 ,0.0 ,0.0], [0.0 ,13.9876 ,0.0], [0.0 ,0.0 ,55.9504]]"
fix,gps,1697617252.057717,34.774376333333336,135.51209216666666,78.30000000000001,STATUS_GBAS_FIX,SERVICE_GLONASS,COVARIANCE_TYPE_APPROXIMATED,"[[13.9876 ,0.0 ,0.0], [0.0 ,13.9876 ,0.0], [0.0 ,0.0 ,55.9504]]"
fix,gps,1697617253.05179,34.774379833333334,135.51210216666666,78.6,STATUS_GBAS_FIX,SERVICE_GLONASS,COVARIANCE_TYPE_APPROXIMATED,"[[13.9876 ,0.0 ,0.0], [0.0 ,13.9876 ,0.0], [0.0 ,0.0 ,55.9504]]"
fix,gps,1697617254.049295,34.77438433333333,135.51211,78.9,STATUS_GBAS_FIX,SERVICE_GLONASS,COVARIANCE_TYPE_APPROXIMATED,"[[13.9876 ,0.0 ,0.0], [0.0 ,13.9876 ,0.0], [0.0 ,0.0 ,55.9504]]"
fix,gps,1697617255.052594,34.77438583333333,135.51212283333334,79.2,STATUS_GBAS_FIX,SERVICE_GLONASS,COVARIANCE_TYPE_APPROXIMATED,"[[13.9876 ,0.0 ,0.0], [0.0 ,13.9876 ,0.0], [0.0 ,0.0 ,55.9504]]"
